,series,category,rate
0,Euphoria                                          ,Profanity                     ,0.8929440389294404
1,Euphoria                                          ,Sex & Nudity                  ,0.8860759493670886
2,Spartacus                                         ,Sex & Nudity                  ,0.8822246455834242
3,Spartacus                                         ,Profanity                     ,0.8555133079847909
4,Power Book III: Raising Kanan                     ,Profanity                     ,1.0
5,Power Book III: Raising Kanan                     ,Sex & Nudity                  ,0.7333333333333333
6,Oz                                                ,Profanity                     ,0.9484536082474226
7,Oz                                                ,Sex & Nudity                  ,0.7699530516431925
8,Game of Thrones                                   ,Sex & Nudity                  ,0.876619653709437
9,Game of Thrones                                   ,Profanity                     ,0.8379360465116279
